Categoría: Todas las categorías

Semana,ChatGPT: (España)
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,<1
2022-12-04,3
2022-12-11,3
2022-12-18,2
2022-12-25,2
2023-01-01,2
2023-01-08,5
2023-01-15,5
2023-01-22,6
2023-01-29,6
2023-02-05,6
2023-02-12,8
2023-02-19,8
2023-02-26,8
2023-03-05,9
2023-03-12,11
2023-03-19,16
2023-03-26,20
2023-04-02,17
2023-04-09,23
2023-04-16,27
2023-04-23,24
2023-04-30,23
2023-05-07,23
2023-05-14,23
2023-05-21,22
2023-05-28,20
2023-06-04,18
2023-06-11,16
2023-06-18,13
2023-06-25,11
2023-07-02,9
2023-07-09,9
2023-07-16,7
2023-07-23,7
2023-07-30,6
2023-08-06,5
2023-08-13,6
2023-08-20,6
2023-08-27,7
2023-09-03,6
2023-09-10,10
2023-09-17,14
2023-09-24,16
2023-10-01,12
2023-10-08,10
2023-10-15,12
2023-10-22,13
2023-10-29,12
2023-11-05,14
2023-11-12,14
2023-11-19,14
2023-11-26,15
2023-12-03,12
2023-12-10,17
2023-12-17,12
2023-12-24,8
2023-12-31,8
2024-01-07,13
2024-01-14,13
2024-01-21,13
2024-01-28,14
2024-02-04,14
2024-02-11,15
2024-02-18,15
2024-02-25,15
2024-03-03,16
2024-03-10,17
2024-03-17,14
2024-03-24,10
2024-03-31,13
2024-04-07,17
2024-04-14,16
2024-04-21,17
2024-04-28,15
2024-05-05,16
2024-05-12,19
2024-05-19,19
2024-05-26,18
2024-06-02,20
2024-06-09,16
2024-06-16,12
2024-06-23,10
2024-06-30,10
2024-07-07,9
2024-07-14,8
2024-07-21,8
2024-07-28,7
2024-08-04,7
2024-08-11,8
2024-08-18,10
2024-08-25,9
2024-09-01,12
2024-09-08,19
2024-09-15,33
2024-09-22,39
2024-09-29,43
2024-10-06,47
2024-10-13,52
2024-10-20,53
2024-10-27,50
2024-11-03,56
2024-11-10,58
2024-11-17,65
2024-11-24,62
2024-12-01,57
2024-12-08,64
2024-12-15,54
2024-12-22,34
2024-12-29,34
2025-01-05,48
2025-01-12,61
2025-01-19,69
2025-01-26,65
2025-02-02,67
2025-02-09,67
2025-02-16,75
2025-02-23,67
2025-03-02,63
2025-03-09,69
2025-03-16,65
2025-03-23,71
2025-03-30,90
2025-04-06,76
2025-04-13,53
2025-04-20,67
2025-04-27,64
2025-05-04,79
2025-05-11,83
2025-05-18,77
2025-05-25,84
2025-06-01,81
2025-06-08,82
2025-06-15,63
2025-06-22,58
2025-06-29,54
2025-07-06,53
2025-07-13,54
2025-07-20,56
2025-07-27,51
2025-08-03,52
2025-08-10,42
2025-08-17,44
2025-08-24,48
2025-08-31,55
2025-09-07,59
2025-09-14,76
2025-09-21,95
2025-09-28,96
2025-10-05,95
2025-10-12,91
2025-10-19,99
2025-10-26,94
2025-11-02,98
2025-11-09,100
2025-11-16,98
2025-11-23,89
2025-11-30,85
2025-12-07,85
2025-12-14,76
2025-12-21,53
2025-12-28,53
2026-01-04,65
2026-01-11,80
2026-01-18,86
